C_FLOPs,g_type,Lctx,Q0,delta,recipe,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1
1e+23,pow,4096,0.5,-0.2285239529866762,empirical_best,9077232751.267347,1501795420962.6433,1.0,1.950674161874633,2.0171481801138613,0.0,-0.06647401823922829,0.8179287948519264,0.11167454479044968,0.07039666035762392,ceiling,True
1e+23,pow,8192,0.5,-0.2285239529866762,empirical_best,8611913139.944479,1419068991322.0637,1.0,1.955448123515913,2.0227263569832923,0.0,-0.06727823346737934,0.7332539335712543,0.20022720746052386,0.06651885896822174,ceiling,True
1e+23,pow,32768,0.5,-0.2285239529866762,empirical_best,6855484512.640333,1101946462631.6687,1.0,1.9775090606380679,2.0483872316460765,0.0,-0.07087817100800857,0.4532626144998123,0.4950836450643283,0.05165374043585947,ceiling,True
1e+23,pow,131072,0.5,-0.2285239529866762,empirical_best,4485253501.715791,670343498945.4467,1.0,2.0248997556508197,2.1029938702890183,0.0,-0.0780941146381985,0.18039963155984884,0.7881780169270836,0.03142235151306781,ceiling,True
1e+23,log,2048,0.5,-0.2285239529866762,empirical_best,8807392858.619375,1734180123409.1958,1.0,1.9456189080267612,2.0125529405372697,0.0,-0.06693403251050858,0.9164163380684291,0.06256068867880477,0.021022973252766048,ceiling,True
1e+23,log,4096,0.5,-0.2285239529866762,empirical_best,8572386055.2983055,1675909682982.4355,1.0,1.948242903408964,2.015591903476863,0.0,-0.06734900006789868,0.8619926877802822,0.1176907349716012,0.020316577248116637,ceiling,True
1e+23,log,8192,0.5,-0.2285239529866762,empirical_best,8158517654.184914,1574052243475.3972,1.0,1.953118945514508,2.0212338634625353,0.0,-0.06811491794802739,0.770515981020204,0.2104022305505837,0.01908178842921237,ceiling,True
1e+23,log,32768,0.5,-0.2285239529866762,empirical_best,6573261586.400552,1194309807543.8384,1.0,1.9755832972470968,2.047145667805905,0.0,-0.0715623705588079,0.471030646811361,0.5144910744904893,0.014478278698149875,ceiling,True
1e+23,log,131072,0.5,-0.2285239529866762,empirical_best,4371907341.965654,703974283728.9691,1.0,2.023568274969886,2.1021205175468487,0.0,-0.07855224257696278,0.1846626203753816,0.8068032992614005,0.008534080363217926,ceiling,True
1e+24,exp,2048,0.5,-0.2285239529866762,empirical_best,23364737337.13993,6510753521786.06,1.0,1.8637083002472556,1.917265553857368,0.0,-0.053557253610112425,0.9127322754203403,0.06230919000202857,0.02495853457763118,ceiling,True
1e+24,exp,4096,0.5,-0.2285239529866762,empirical_best,22743964258.051884,6292114948720.065,1.0,1.8655131578174073,1.9194010040785827,0.0,-0.05388784626117527,0.8586458250074588,0.11723377664101838,0.02412039835152281,ceiling,True
1e+24,exp,8192,0.5,-0.2285239529866762,empirical_best,21650840192.732635,5909773934382.525,1.0,1.868867657650869,1.9233654959508104,0.0,-0.054497838299941585,0.7677094261709573,0.20963585397308274,0.02265471985596024,ceiling,True
1e+24,exp,32768,0.5,-0.2285239529866762,empirical_best,17463061958.797558,4483144397998.995,1.0,1.8843315862983476,1.9415733469322292,0.0,-0.05724176063388163,0.46973657035495575,0.5130775979130396,0.01718583173200458,ceiling,True
1e+24,exp,131072,0.5,-0.2285239529866762,empirical_best,11643411873.605762,2639086732237.7397,1.0,1.9174051205020126,1.9802026228250387,0.0,-0.06279750232302597,0.184367842761674,0.8055153962152711,0.010116761023055003,ceiling,True
1e+24,pow,2048,0.5,-0.2285239529866762,empirical_best,23500159999.461838,6438564403405.928,1.0,1.8638729333687425,1.917359500206466,0.0,-0.053486566837723536,0.9078437618812732,0.06197546747776159,0.030180770640965287,ceiling,True
1e+24,pow,4096,0.5,-0.2285239529866762,empirical_best,22871555805.83528,6224587601707.1875,1.0,1.865673811639681,1.9194928108434404,0.0,-0.053818999203759536,0.854196016204538,0.11662622941245959,0.029177754383002442,ceiling,True
1e+24,pow,8192,0.5,-0.2285239529866762,empirical_best,21765007251.96648,5850097178002.916,1.0,1.869021255526981,1.9234536341922566,0.0,-0.0544323786652757,0.7639644450236527,0.20861322445445873,0.02742233052188867,ceiling,True
1e+24,pow,32768,0.5,-0.2285239529866762,empirical_best,17533943317.613007,4448366701194.971,1.0,1.8844575811320932,1.9416463784146845,0.0,-0.0571887972825914,0.46798445756825857,0.51116382351989,0.020851718911851426,ceiling,True
1e+24,pow,131072,0.5,-0.2285239529866762,empirical_best,11671590573.80901,2626872784623.5913,1.0,1.9174912450236512,1.9802540680842675,0.0,-0.0627628230606162,0.18395870178964882,0.8037278320324281,0.012313466177923085,ceiling,True
1e+24,log,2048,0.5,-0.2285239529866762,empirical_best,22937803687.873253,6746071611770.977,1.0,1.8631945159022274,1.91697795427481,0.0,-0.05378343837258261,0.9284403977708241,0.06338153115448827,0.008178071074687394,ceiling,True
1e+24,log,4096,0.5,-0.2285239529866762,empirical_best,22342115155.57945,6511789260437.424,1.0,1.8650120687017744,1.919119888016839,0.0,-0.05410781931506458,0.8729228731533507,0.11918306961453749,0.007894057232111581,ceiling,True
1e+24,log,8192,0.5,-0.2285239529866762,empirical_best,21291090514.30272,6103436001997.168,1.0,1.868389039394732,1.9230959525187052,0.0,-0.05470691312397326,0.7796928502006537,0.2129081276281252,0.007399022171221099,ceiling,True
1e+24,log,32768,0.5,-0.2285239529866762,empirical_best,17242091351.42779,4594266758721.07,1.0,1.8839404003664364,1.9413489829495925,0.0,-0.057408582583156155,0.4752886028801805,0.5191418979725919,0.005569499147227573,ceiling,True
1e+24,log,131072,0.5,-0.2285239529866762,empirical_best,11556146197.973642,2677472318865.8833,1.0,1.9171389829467493,1.9800445398697273,0.0,-0.06290555692297789,0.1856475693470499,0.8111066069818843,0.003245823671066098,ceiling,True
