Q0,g,C,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_quality,s_train,s_attn,regime_Q
0.5,pow,2.371373705661655e+23,12149827165.59657,2432359281315.4355,1.0,1.9189631470405597,1.9811526376339266,0.0,-0.06218949059336696,0.04808050331309899,0.7477373507699788,0.20418214591692221,ceiling
0.5,pow,3.162277660168379e+23,13641795418.324429,2904129845071.33,1.0,1.9079678073214734,1.96853283461871,0.0,-0.06056502729723662,0.0430484293654562,0.7516900690991913,0.20526150153535253,ceiling
0.5,pow,4.2169650342858225e+23,15323770241.581835,3464007946667.0005,1.0,1.8975032355521515,1.9564802530285514,0.0,-0.05897701747639992,0.03850526887935537,0.7552587435488934,0.20623598757175118,ceiling
0.5,pow,5.623413251903491e+23,17219846836.110607,4128197525976.834,1.0,1.8875412203249975,1.9449667418360659,0.0,-0.05742552151106844,0.03441135309852293,0.7584745341182528,0.20711411278322422,ceiling
0.5,pow,7.498942093324558e+23,19357009640.700733,4915918056865.489,1.0,1.8780554317513143,1.9339659964282405,0.0,-0.055910564676926136,0.030728822285572555,0.7613671798133858,0.20790399790104183,ceiling
0.5,pow,1e+24,21765638456.065037,5849932177176.705,1.0,1.8690212555182426,1.9234532734451817,0.0,-0.05443201792693898,0.027421557080515805,0.7639650525655773,0.20861339035390705,ceiling
0.5,log,1e+19,258847648.7465926,3135333385.401392,1.0,3.0011767830124314,3.151041949348108,0.0,-0.1498651663356765,0.3800875642042223,0.4869442049087067,0.13296823088707088,ceiling
0.5,log,1.3335214321633241e+19,282787435.04601765,3954320318.400317,1.0,2.930923106031442,3.0777892695670945,0.0,-0.14686616353565266,0.3594775555844905,0.5031334659736407,0.13738897844186884,ceiling
0.5,log,1.7782794100389229e+19,309383169.81146985,4973562604.335704,1.0,2.8650625945507437,3.008942769640587,0.0,-0.14388017508984327,0.3390529462094273,0.5191770950386778,0.14176995875189494,ceiling
0.5,log,2.3713737056616554e+19,338974061.88176036,6238009388.613211,1.0,2.8032725597663237,2.9441804985617237,0.0,-0.14090793879539998,0.318893713329022,0.5350122695886401,0.14609401708233796,ceiling
0.5,log,3.162277660168379e+19,371946031.8737764,7801650987.616727,1.0,2.7452555328874206,2.8832059031004422,0.0,-0.13795037021302156,0.29907936612387287,0.5505765347791112,0.15034409909701596,ceiling
0.5,log,4.216965034285823e+19,408737399.7460283,9729127208.338663,1.0,2.690737369938679,2.8257459944822263,0.0,-0.13500862454354715,0.2796879884237842,0.5658085553855904,0.15450345619062525,ceiling
0.5,log,5.6234132519034905e+19,449846308.24809027,12097582592.599766,1.0,2.639465498327865,2.7715495539507264,0.0,-0.13208405562286124,0.26079456079602986,0.580649433811246,0.15855600539272424,ceiling
0.5,log,7.498942093324558e+19,495838818.14943266,14998823605.888412,1.0,2.5912072925492087,2.7203854940745735,0.0,-0.12917820152536463,0.2424695079872013,0.59504385107834,0.1624866409344587,ceiling
0.5,log,1e+20,547357436.1597652,18541844682.75324,1.0,2.545748567386646,2.672041365799528,0.0,-0.12629279841288213,0.22477751852913247,0.6089409940334632,0.1662814874374044,ceiling
0.5,log,1.333521432163324e+20,605131245.471609,22855772304.269302,1.0,2.5028921779927966,2.626321926122702,0.0,-0.12342974812990526,0.20777621683056235,0.6222955984259303,0.16992818474350738,ceiling
0.5,log,1.778279410038923e+20,669987625.9023681,28093302902.377216,1.0,2.4624567172539895,2.583047788343526,0.0,-0.12059107108953648,0.19151497378360788,0.6350688831821262,0.17341614303426595,ceiling
0.5,log,2.3713737056616553e+20,742863782.5755733,34434796261.24996,1.0,2.424275301905464,2.54205422776253,0.0,-0.11777892585706617,0.17603436230030348,0.6472289780841771,0.17673665961551932,ceiling
0.5,log,3.1622776601683794e+20,824821900.1996853,42093035171.62684,1.0,2.38819443992038,2.503189966815637,0.0,-0.114995526895257,0.16136530969332447,0.6587515895789765,0.17988310072769917,ceiling
0.5,log,4.216965034285823e+20,917064244.5490516,51318913935.54982,1.0,2.3540729727385856,2.466316111097536,0.0,-0.11224313835895022,0.14752899719951537,0.6696200797029361,0.1828509230975484,ceiling
0.5,log,5.6234132519034906e+20,1020951480.7526381,62408121845.41036,1.0,2.3217810868964075,2.4313051039418,0.0,-0.10952401704539269,0.13453678536350683,0.6798255246935169,0.18563768994297633,ceiling
0.5,log,7.498942093324558e+20,1138021625.6817453,75709142379.26352,1.0,2.2911993905342265,2.398039791279653,0.0,-0.1068404007454266,0.12239065532863612,0.6893663683530822,0.18824297631828169,ceiling
0.5,log,1e+21,1270013813.9438968,91632612659.04434,1.0,2.2622180510625864,2.3664124874556016,0.0,-0.10419443639301523,0.11108361461467467,0.6982481033085403,0.19066828207678538,ceiling
0.5,log,1.333521432163324e+21,1418892474.802854,110662557629.42671,1.0,2.2347359909344306,2.3363241637115184,0.0,-0.10158817277708797,0.1006006152972631,0.7064825497769718,0.19291683492576514,ceiling
0.5,log,1.7782794100389228e+21,1586875764.0388649,133369654300.07292,1.0,2.2086601389848326,2.3076836642988092,0.0,-0.09902352531397675,0.09091948332157825,0.7140871255852704,0.19499339109315117,ceiling
0.5,log,2.3713737056616553e+21,1776469126.6587589,160426823984.02408,1.0,2.1839047351560574,2.2804069635544253,0.0,-0.09650222839836806,0.08201190865668155,0.7210840683991294,0.19690402294418893,ceiling
0.5,log,3.1622776601683794e+21,1990498349.6525638,192628074022.7308,1.0,2.1603906866332823,2.254416545401944,0.0,-0.09402585876866176,0.07384473154185535,0.7274994253703483,0.19865584308779644,ceiling
0.5,log,4.2169650342858226e+21,2232151097.4020624,230910512719.35214,1.0,2.1380449734937548,2.2296407719587927,0.0,-0.09159579846503807,0.06638097685990514,0.7333622406316204,0.20025678250847448,ceiling
0.5,log,5.623413251903491e+21,2505024821.7446175,276380257484.71875,1.0,2.1168001019465623,2.206013307321017,0.0,-0.08921320537445461,0.05958088511626456,0.7387037454574797,0.20171536942625581,ceiling
0.5,log,7.498942093324559e+21,2813174877.9545927,330343663894.24335,1.0,2.0965936031425563,2.1834726471613357,0.0,-0.08687904401877948,0.05340303196824094,0.7435564788686839,0.2030404891630753,ceiling
0.5,log,1e+22,3161174378.0597067,394343754390.0274,1.0,2.0773675753962295,2.161961641746998,0.0,-0.08459406635076841,0.0478051736900269,0.7479536235153746,0.20424120279459834,ceiling
0.5,log,1.3335214321633241e+22,3554175907.184475,470203965420.7157,1.0,2.0590682675119987,2.1414271056472973,0.0,-0.0823588381352985,0.04274508853747886,0.7519283447809917,0.2053265666815295,ceiling
0.5,log,1.7782794100389228e+22,3997988569.7785587,560079050743.0007,1.0,2.0416457007703905,2.1218194210161503,0.0,-0.08017372024575993,0.03818117260634287,0.7555133227327637,0.20630550466089337,ceiling
0.5,log,2.371373705661655e+22,4499155851.167363,666516425221.1467,1.0,2.0250533270225137,2.1030922306774977,0.0,-0.07803890365498399,0.034073032692374494,0.75874028642723,0.20718668088039563,ceiling
