indicator,method,n_detected,detect_rate,mean_shift,sd_ratio,skew_before,skew_after,kurt_before,kurt_after
dsir_books,iqr,35262.0,0.1293994605603567,4124.380850524556,0.1596114208901638,-18.513635091357756,-1.1460779211870165,770.2315391793946,-0.09663451723082561
dsir_wiki,iqr,35172.0,0.12906919139098366,4104.080260226963,0.1602223153272506,-18.76687608395971,-1.1460882590315626,784.261934092656,-0.09550317396182884
dsir_math,iqr,33866.0,0.12427661877763711,2841.4516057242417,0.19035379351132747,-23.60966821106612,-1.1441273985466136,1158.3081266914617,-0.07838476342317602
rps_doc_word_count,iqr,36522.0,0.13402322893157922,-578.4443771673914,0.09372394098810065,35.45608029252049,1.1753955317159563,3047.6954892540566,-0.0975554018214928
rps_doc_num_sentences,iqr,35000.0,0.1284380103117374,-45.163996990880904,0.16901650822051734,26.416807847900245,1.1852655654947442,1274.3994957596767,-0.07579910442733695
rps_doc_unigram_entropy,iqr,1779.0,0.006528320581273738,0.0025098850915385995,0.9927516405774566,-0.2037467252735243,-0.15030844652027148,-0.05371127708367984,-0.24023468435299788
rps_doc_frac_unique_words,iqr,0.0,0.0,0.0,1.0,0.0671046488881996,0.0671046488881996,-0.5546752670966653,-0.5546752670966653
rps_doc_frac_no_alph_words,iqr,2895.0,0.010623658281499422,-0.205984316276151,0.9097272769158593,1.398841120333259,0.3676687770684325,6.4574546706456974,-0.21944773570393172
rps_doc_frac_chars_top_2gram,iqr,16583.0,0.06085392928570118,-0.44416875347929174,0.6547565074510618,4.260907920685415,1.1838886948302918,45.360035680150794,0.4176264444129054
rps_doc_frac_chars_top_3gram,iqr,17031.0,0.06249793581769142,-0.4849687421155311,0.6066109304979789,5.971501512928552,1.282654532024804,129.02202125400981,0.521583792983856
rps_lines_uppercase_letter_fraction,iqr,4685.0,0.01719234509458542,-0.10625918395760436,0.9737254454460409,0.67736483980899,0.5006601780456591,0.5373501506503384,-0.18020601279412096
rps_lines_ending_with_terminal_punctution_mark,iqr,18493.0,0.06786297499128456,-1.4396173668597285,0.8213073678751169,1.5553976528287838,0.8775455222420411,2.3881323409081663,0.05936734583782899
