N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type,dominant,eN,eD,shift_event
669983965.1151216,28093427005.98564,1.0,2.462456717255286,2.583047938920923,0.0,-0.12059122166563703,0.635068218623659,0.1734159615655005,0.19151581981084065,ceiling,False,1.778279410038923e+20,log,train,0.3537097832496009,0.7168775772805202,False
742863616.5845021,34434802601.14752,1.0,2.424275301905467,2.5420542337766925,0.0,-0.11777893187122536,0.6472289526257817,0.17673665266368016,0.17603439471053806,ceiling,False,2.3713737056616553e+20,log,train,0.35875743654824543,0.7071430193604025,False
824821713.4164296,42093043165.56722,1.0,2.388194439920383,2.5031899727666476,0.0,-0.11499553284626443,0.658751565507114,0.17988309415447595,0.16136534033841007,ceiling,False,3.1622776601683794e+20,log,train,0.36360797519299565,0.6977018159193553,False
917064194.0643128,51318916343.88786,1.0,2.354072972738586,2.4663161125095923,0.0,-0.11224313977100614,0.6696200742645977,0.18285092161251953,0.14752900412288278,ceiling,False,4.216965034285823e+20,log,train,0.3683172153946285,0.6885372198353992,False
1020951169.4765247,62408138313.01884,1.0,2.321781086896407,2.431305111572807,0.0,-0.10952402467639992,0.6798254968079601,0.18563768232836036,0.13453682086367957,ceiling,False,5.6234132519034906e+20,log,train,0.3728418704184049,0.6797100017490953,False
1138021066.3374534,75709175036.42609,1.0,2.291199390534229,2.3980398032800654,0.0,-0.10684041274583601,0.6893663268837315,0.18824296499438428,0.12239070812188409,ceiling,False,7.498942093324558e+20,log,train,0.37716264460560917,0.6712582921774353,False
1270013932.3807328,91632605062.96838,1.0,2.2622180510625873,2.366412485235083,0.0,-0.10419443417249576,0.6982481105418668,0.19066828405196573,0.11108360540616746,ceiling,False,1e+21,log,train,0.38126547025728635,0.66321215646146,False
1418891321.4406395,110662638533.39815,1.0,2.2347359909344418,2.336324182582374,0.0,-0.1015881916479321,0.7064824920048088,0.19291681915011313,0.10060068884507802,ceiling,False,1.333521432163324e+21,log,train,0.3851251766069834,0.6556078993185319,False
1586876116.6210847,133369627361.36458,1.0,2.2086601389848326,2.307683659270899,0.0,-0.09902352028606633,0.7140871400105938,0.19499339503222615,0.09091946495718002,ceiling,False,1.7782794100389228e+21,log,train,0.38875113146367246,0.6484473347301088,False
1776467540.1204617,160426955508.71344,1.0,2.1839047351560756,2.280406983249726,0.0,-0.09650224809365006,0.7210840155842769,0.1969040085222132,0.0820119758935098,ceiling,False,2.3713737056616553e+21,log,train,0.39211402072686696,0.6417632323470926,False
1990498168.5955966,192628090250.42596,1.0,2.1603906866332814,2.2544165473564286,0.0,-0.09402586072314738,0.7274994204837615,0.19865584175343245,0.07384473776280626,ceiling,False,3.1622776601683794e+21,log,train,0.39523604746503493,0.635538217584942,False
2232147593.075365,230910851169.75266,1.0,2.138044973493815,2.229640804820453,0.0,-0.09159583132663751,0.7333621642051471,0.2002567616389522,0.06638107415590064,ceiling,False,4.2169650342858226e+21,log,train,0.3980890008400506,0.6297977853488358,False
2505023935.435459,276380349445.3223,1.0,2.116800101946567,2.206013314534325,0.0,-0.08921321258775751,0.7387037298852572,0.2017153651740009,0.05958090494074192,ceiling,False,5.623413251903491e+21,log,train,0.4007117796201868,0.624502555586385,False
2813175039.3858743,330343645950.12885,1.0,2.0965936031425554,2.183472646022036,0.0,-0.0868790428794805,0.7435564811472981,0.20304048978528885,0.05340302906741303,ceiling,True,7.498942093324559e+21,log,train,0.4030790037976416,0.6196703689154652,False
3161170431.035093,394344223227.8951,1.0,2.077367575396264,2.1619616658845913,0.0,-0.08459409048832715,0.7479535788705144,0.20424119060357512,0.04780523052591044,ceiling,True,1e+22,log,train,0.40520924489197047,0.6152762039013727,False
3554162327.072985,470205685228.4431,1.0,2.0590682675122944,2.1414271775605878,0.0,-0.08235891004829331,0.7519282219724194,0.20532653314660199,0.04274524488097867,ceiling,True,1.3335214321633241e+22,log,train,0.4071147856492064,0.6112991411689329,False
3997961762.8279686,560082662772.339,1.0,2.0416457007712236,2.121819543865925,0.0,-0.08017384309470137,0.755513129313353,0.2063054518444996,0.03818141884214734,ceiling,True,1.7782794100389228e+22,log,train,0.4088110155986662,0.6077140283512011,False
4499090729.05523,666525743992.5824,1.0,2.025053327026336,2.1030924888147124,0.0,-0.07803916178837644,0.7587399122240737,0.20718657869798707,0.03407350907793945,ceiling,True,2.371373705661655e+22,log,train,0.4102889210958308,0.604518391501574,False
5065052869.575746,792527523769.4381,1.0,2.009247720274611,2.0852021188065346,0.0,-0.07595439853192376,0.7616397242497192,0.20797842070179,0.030381855048490752,ceiling,True,3.1622776601683792e+22,log,train,0.41167385327244677,0.6015794038292845,False
5703978188.882601,941674887830.993,1.0,1.9941882991233488,2.068108390170317,0.0,-0.07392009104696809,0.7642405821535762,0.20868862830006987,0.027070789546354054,ceiling,True,4.2169650342858225e+22,log,train,0.4127509859183304,0.5990930815357909,False
6425291313.040792,1118170052898.6387,1.0,1.9798370774267326,2.0517727626031954,0.0,-0.07193568517646279,0.766570195597137,0.20932476807772493,0.02410503632513795,ceiling,True,5.623413251903491e+22,log,train,0.41371973228035774,0.5968549415774352,False
7239514715.323319,1326997880045.5977,1.0,1.9661584406609955,2.036159247028895,0.0,-0.07000080636789967,0.7686540762872243,0.20989380643149805,0.021452117281277737,ceiling,True,7.498942093324558e+22,log,train,0.4145330600440954,0.5948989788526236,False
8158530854.258055,1574049745337.9414,1.0,1.9531189455145141,2.0212338382777353,0.0,-0.06811489276322115,0.7705160048085976,0.21040223704640107,0.01908175814500128,ceiling,True,1.0000000000000001e+23,log,train,0.41522004074068647,0.5931857949693574,False
9195631964.983973,1866312973370.2832,1.0,1.9406871403985961,2.0069645878435747,0.0,-0.0662774474449786,0.772177791252153,0.2108560155312546,0.016966193216592453,ceiling,True,1.3335214321633241e+23,log,train,0.4157569676323937,0.591728172592067,False
10365852783.339722,2212043388913.308,1.0,1.928833404702614,1.993321146360004,0.0,-0.06448774165738981,0.7736596169439997,0.2112606527335082,0.015079730322492184,ceiling,True,1.7782794100389228e+23,log,train,0.4161876432202134,0.5904733307199186,False
11686102217.968643,2621015040824.4624,1.0,1.9175298047825022,1.9802748085993465,0.0,-0.06274500381684421,0.7749799099681365,0.21162118074863245,0.01339890928323123,ceiling,True,2.371373705661655e+23,log,train,0.4165171527062153,0.5894069746722872,False
13175349302.649279,3104811946454.282,1.0,1.9067499648390036,1.9677984336726064,0.0,-0.0610484688336028,0.776155410301234,0.21194217070625698,0.011902418992509196,ceiling,True,3.162277660168379e+23,log,train,0.4167396578286753,0.588526300845074,False
14854940249.556211,3677150282548.3794,1.0,1.8964689510082933,1.9558662468405998,0.0,-0.059397295832306594,0.7772013373378028,0.21222777851570937,0.010570884146487831,ceiling,True,4.2169650342858225e+23,log,train,0.41687017054322645,0.5878086300971875,False
16748917035.529396,4354266506786.372,1.0,1.8866631671525556,1.944453734719532,0.0,-0.05779056756697647,0.7781314856922164,0.21248177102635454,0.009386743281429267,ceiling,True,5.623413251903491e+23,log,train,0.4169265762689899,0.5872290188792658,False
18884228938.88262,5155415632853.504,1.0,1.87731026099562,1.9335376606787473,0.0,-0.056227399683127205,0.7789582680407534,0.21270753772632844,0.008334194232918129,ceiling,True,7.498942093324558e+23,log,train,0.4169002042848211,0.5867894177895786,False
21291090514.30272,6103436001997.168,1.0,1.868389039394732,1.9230959525187052,0.0,-0.05470691312397326,0.7796928502006537,0.2129081276281252,0.007399022171221099,ceiling,True,1e+24,log,train,0.4167891951315206,0.5864856878586338,False
