C_FLOPs,g_type,Lctx,regime_Q,budget_use,feasible,m_N_per_FLOP,m_D_per_FLOP,m_Q_per_FLOP,rel_dev_active,boundary_dir_ok,n_feas_pert,n_improve_pert,improve_rate,max_improve_rel
1e+20,exp,131072.0,ceiling,1.0,True,2.002212029642604e-21,2.0022122266481762e-21,2.3385294855553712e-21,0.15906664446911775,True,200,0,0.0,0.0
1e+20,pow,2048.0,ceiling,0.9999999999999997,True,1.8370162091441678e-21,1.837031892333738e-21,2.0545452893061625e-21,0.11391753541730511,True,200,0,0.0,0.0
1e+20,pow,4096.0,ceiling,1.0,True,1.8436563864594184e-21,1.8436359698125865e-21,2.0821582940585726e-21,0.12402688160560969,True,200,0,0.0,2.008867484402016e-12
1e+20,pow,8192.0,ceiling,1.0,True,1.8560567825696224e-21,1.856061758513398e-21,2.1348473791706997e-21,0.14304372579051033,True,200,0,0.0,0.0
1e+20,pow,32768.0,ceiling,1.0,True,1.9156017710198357e-21,1.9156019595877885e-21,2.4009491057815e-21,0.23363387299863067,True,200,0,0.0,0.0
1e+20,pow,131072.0,ceiling,1.0,True,2.0550608420895082e-21,2.055060112577176e-21,3.118345319345471e-21,0.4412907938400546,True,200,0,0.0,0.0
1e+20,log,2048.0,ceiling,1.0,True,1.5072347521628634e-21,1.5072347984136809e-21,1.0824309833422324e-20,2.0197753333720367,True,200,0,0.0,0.0
1e+20,log,4096.0,ceiling,1.0,True,1.5162303188616882e-21,1.5162287890043555e-21,1.1066565578725718e-20,2.032127115601927,True,200,0,0.0,0.0
1e+20,log,8192.0,ceiling,0.9999999999999999,True,1.5330963354394718e-21,1.5330960298963748e-21,1.1531546752099998e-20,2.0547943709162326,True,200,0,0.0,0.0
1e+20,log,32768.0,ceiling,0.9999999999999997,True,1.6132429740204958e-21,1.6132432355126993e-21,1.3938626247647195e-20,2.1541455037431168,True,200,0,0.0,0.0
1e+20,log,131072.0,ceiling,0.9999999999999997,True,1.7960521076376124e-21,1.7960518608697983e-21,2.0780568027459086e-20,2.3367790166459086,True,200,0,0.0,0.0
1e+21,exp,2048.0,ceiling,0.9999999999999999,True,1.063928931084123e-22,1.0639274012818503e-22,2.225109311140861e-22,0.8002695207974625,True,200,0,0.0,0.0
1e+21,exp,4096.0,ceiling,1.0,True,1.0699997671486593e-22,1.0699983337774658e-22,2.2727132728710675e-22,0.8176707043896125,True,200,0,0.0,0.0
1e+21,exp,8192.0,ceiling,1.0,True,1.0813890669144707e-22,1.081389064046645e-22,2.36403499210614e-22,0.8500323913462587,True,200,0,0.0,0.0
1e+21,exp,32768.0,ceiling,1.0,True,1.13561576611665e-22,1.1356155232220203e-22,2.836012669229806e-22,0.998814914542125,True,200,0,0.0,0.0
1e+21,exp,131072.0,ceiling,1.0,True,1.259907519244181e-22,1.259904211741965e-22,4.173663856139792e-22,1.305940212885251,True,200,0,0.0,0.0
